종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","111000","3500","3.26","6.57079809E8"
"000660","SK하이닉스","615000","56000","10.02","4.47721454E8"
"373220","LG에너지솔루션","475500","2500","0.53","1.11267E8"
"207940","삼성바이오로직스","1221000","0","0.00","8.6903454E7"
"005380","현대차","289500","-500","-0.17","5.9277373E7"
"034020","두산에너빌리티","89000","300","0.34","5.7009942E7"
"012450","한화에어로스페이스","1045500","66500","6.79","5.3909536E7"
"329180","HD현대중공업","605000","5000","0.83","5.3707735E7"
"000270","기아","117900","-2000","-1.67","4.6427755E7"
"105560","KB금융","117800","1200","1.03","4.4936236E7"
"042660","한화오션","139300","1700","1.24","4.2683386E7"
"035420","NAVER","271500","4000","1.50","4.2585491E7"
"068270","셀트리온","173900","-1700","-0.97","4.0160319E7"
"028260","삼성물산","226000","0","0.00","3.8414699E7"
"055550","신한지주","73800","500","0.68","3.5829526E7"
"402340","SK스퀘어","270250","10250","3.94","3.5819167E7"
"009540","HD한국조선해양","485000","11000","2.32","3.4324961E7"
"267260","HD현대일렉트릭","946000","76000","8.74","3.410059E7"
"032830","삼성생명","150800","-3500","-2.27","3.016E7"
"015760","한국전력","44650","2100","4.94","2.8663696E7"
"035720","카카오","64100","-1000","-1.54","2.8352593E7"
"051910","LG화학","391000","-6500","-1.64","2.7601606E7"
"012330","현대모비스","297500","-18500","-5.85","2.730904E7"
"064350","현대로템","245000","14500","6.29","2.6739862E7"
"006400","삼성SDI","325000","3000","0.93","2.6190297E7"
"010140","삼성중공업","29450","-100","-0.34","2.5916E7"
"005490","POSCO홀딩스","312500","2000","0.64","2.5291548E7"
"086790","하나금융지주","85400","-100","-0.12","2.3769025E7"
"298040","효성중공업","2337000","202000","9.46","2.1791469E7"
"096770","SK이노베이션","126500","-2400","-1.86","2.1385178E7"
"000810","삼성화재","443000","1500","0.34","2.0382942E7"
"010130","고려아연","1033000","0","0.00","1.9981591E7"
"003670","포스코퓨처엠","221000","4500","2.08","1.9657115E7"
"011200","HMM","20200","-350","-1.70","1.9053407E7"
"138040","메리츠금융지주","109200","-1300","-1.18","1.9134218E7"
"316140","우리금융지주","25450","50","0.20","1.8682242E7"
"034730","SK","251500","3000","1.21","1.823443E7"
"009150","삼성전기","241500","-3500","-1.43","1.8038528E7"
"267250","HD현대","217500","12500","6.10","1.7180996E7"
"000150","두산","1011000","62000","6.53","1.6705597E7"
"033780","KT&G","133200","-1000","-0.75","1.5967051E7"
"006800","미래에셋증권","27250","950","3.61","1.5541122E7"
"024110","기업은행","19140","-190","-0.98","1.5262731E7"
"010120","LS ELECTRIC","487500","52500","12.07","1.4625E7"
"352820","하이브","341500","500","0.15","1.4376475E7"
"066570","LG전자","88300","700","0.80","1.4382868E7"
"018260","삼성에스디에스","180800","-2200","-1.20","1.3989906E7"
"042700","한미반도체","141500","-2200","-1.53","1.3486676E7"
"259960","크래프톤","278000","2000","0.72","1.3175492E7"
